,PERGUNTA,Obs,Tema,Nota G,Nota M,Final,Discrepância,Obs,,,,,
,Quão disposta você está a aprender sobre si mesma?,abertura,Perguntas boas,0,3,"1,5","-1,5","não precisa dar uma materialização, uma resposta poderia ser ""muito"", e por dar margem para isso, nota baixa.",,,,,
,Qual foi a sua primeira impressão sobre cada pessoa da roda?,Chegança,Perguntas pra roda,9,8,"8,5","0,5",,,,,,
,Você acha que as pessoas da roda seriam capazes de cuidar de uma planta?,Chegança,Perguntas pra roda,5,8,"6,5","-1,5","opção: das pessoas da roda, qual cuidaria melhor e pior de uma planta?",,,,,
,Com qual sentimento você mais se compromete?,Chegança,Perguntas boas,9,6,"7,5","1,5",,,,,,
,Como seria um dia perfeito?,Chegança,Perguntas boas,8,9,"8,5","-0,5","Encontro perfeito, casa perfeita, desastre perfeito",,,,Discrepancia,"entre -1, 0 e 1"
,Do que vc não abre mão?,Reflexão,Perguntas boas,7,9,8,-1,,,,,,
,Qual característica sua que você considera apaixonante?,Conexão,Perguntas boas,"8,5",9,"8,75","-0,25",,,,,Média Final,acima de 8
,O que faria seu dia mais feliz hoje?,Conexão,Perguntas boas,9,6,"7,5","1,5",,,,,,
,O que ficou melhor em você depois da sua última frustração?,Conexão,Perguntas boas,10,9,"9,5","0,5",,,,,,
,O que te deixa melancólico?,Conexão,Perguntas boas,3,8,"5,5","-2,5",,,,,,
,O que te provoca aconchego?,Conexão,Perguntas boas,2,6,4,-2,,,,,,
,O que te faz sentir preenchida?,Conexão,Perguntas boas,6,7,"6,5","-0,5",,,,,,
,O que te provoca compaixão?,Conexão,Perguntas boas,4,"6,5","5,25","-1,25",,,,,,
,O que te provoca serenidade?,Conexão,Perguntas boas,4,5,"4,5","-0,5",,,,,,
,O que te provoca alívio?,Conexão,Perguntas boas,3,8,"5,5","-2,5",,,,,,
,O que te provoca orgulho?,Conexão,Perguntas boas,4,1,"2,5","1,5",Eu acho que não entendi essa pergunta,,,,,
,Do que você se orgulha?,Conexão,Perguntas boas,6,8,7,-1,,,,,,
,O que te provoca gratidão?,Conexão,Perguntas boas,5,8,"6,5","-1,5",,,,,,
,O que te faz parar?,Conexão,Perguntas boas,2,9,"5,5","-3,5",sem campo construido pode trazer perguntas fracas,,,,,
,O que vc está buscando?,Conexão,Perguntas boas,4,8,6,-2,,,,,,
,O que vc faria se não tivesse medo?,Conexão,Perguntas boas,10,"9,5","9,75","0,25","""o que você faria se fosse a pessoa do seu lado direito""",,,,,
,O que vc faria se tivesse mais confiança?,Conexão,Perguntas boas,7,9,8,-1,,,,,,
,O que vc gostaria de dizer agora se tivesse certeza que não seria julgado?,Reflexão,Perguntas poderosas,10,"9,8","9,9","0,1",,,,,,
,O que vc mais ama em vc?,Conexão,Perguntas boas,10,"9,8","9,9","0,1",,,,,,
,O que vc tem tentado largar mas está difícil conseguir?,Reflexão,Perguntas boas,5,"9,8","7,4","-2,4",,,,,,
,O que você faria se eu te garantisse que vc não vai fracassar?,,Perguntas boas,7,"9,8","8,4","-1,4",repetida linha 76,,,,,
,O que você mais ama em ser você?,,Perguntas boas,,"9,8","4,9","-4,9",muito semelhante a outra (linha 25),,,,,
,"O que, de bom, está te sobrando?",,Perguntas boas,6,"9,8","7,9","-1,9",,,,,,
,Onde você tem focado sua energia ultimamente?,abertura,Perguntas boas,1,9,5,-4,muito protocolar,,,,,
,Para você o que é um relacionamento amoroso desejável?,,Perguntas românticas,6,9,"7,5","-1,5",,,,,,
,Pelo o que vc (ainda) não se perdoou?,,Perguntas boas,10,"9,8","9,9","0,1",,,,,,
,Pelo o que você pediria desculpas a si mesmo?,,Perguntas boas,8,9,"8,5","-0,5",Acho que dá pra escrever melhor,,,,,
,"Pensando na vida que vc leva hoje, o que te falta?",,Perguntas boas,6,"8,5","7,25","-1,25",,,,,,
,Qual lei você colocaria no mundo?,,Perguntas boas,10,9,"9,5","0,5",,,,,,
,Qual melhor conselho vc poderia dar hoje para você mesma aos 18 anos?,,Perguntas boas,9,9,9,0,,,,,,
,Qual motivo te fez chorar pela última vez?,Conexão,Perguntas boas,8,9,"8,5","-0,5","se temos um de felicidade, precisaria ser de tristeza",,,,,
,Qual situação te provoca solidão?,Conexão,Perguntas boas,5,"8,5","6,75","-1,75",,,,,,
,Qual tem sido sua prioridade?,,Perguntas boas,10,8,9,1,,,,,,
,Qual foi a ultima vez que vc chorou de felicidade?,,Perguntas boas,8,8,8,0,,,,,,
,Qual foi a última vez que você chorou de rir?,,Perguntas boas,0,9,"4,5","-4,5",será?,,,,,
,"Se vc pudesse fazer uma refeição antes de morrer, qual seria o cardápio?",abertura,Perguntas descontraídas,2,9,"5,5","-3,5",,,,,,
,"Se vc pudesse passar uma mensagem para todas as pessoas do mundo, qual seria?",,Perguntas boas,3,"8,5","5,75","-2,75",,,,,,
,Em qual aspecto você é neurótica?,,Perguntas boas,5,9,7,-2,,,,,,
,Como as pessoas da roda te descreveriam se você não estivesse aqui?,,Perguntas pra roda,10,9,"9,5","0,5",,,,,,
,Em quais contextos você acha difícil confiar nas pessoas?,,Perguntas boas,3,9,6,-3,fácil ir para um lugar comum,,,,,
,O que você costuma fazer quando está emocionalmente machucada?,,Perguntas boas,7,9,8,-1,,,,,,
,Em quais áreas da vida você se reconhece imatura?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,Como você geralmente responde à frustração?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,"Se você fosse escrever um livro, qual seria o assunto?",abertura,Perguntas boas,7,7,7,0,,,,,,
